HR,footGSR,handGSR,stress
77.81578947,2.417131579,10.88944737,0
101.9782609,2.417108696,11.25106522,0
104.9574468,2.22687234,11.3796383,0
87.70212766,2.173021277,11.47082979,0
88.82978723,2.017106383,11.13525532,0
91.40425532,2.147361702,12.20234043,0
87.31914894,2.277297872,13.07574468,0
79.52173913,2.313347826,13.82806522,0
88.02272727,2.273704545,13.60931818,0
89.86363636,2.090181818,12.40863636,0
86.90909091,1.956545455,11.33038636,0
85.27272727,1.861090909,10.32493182,0
81.65909091,1.780272727,9.395659091,0
86.5,1.711477273,8.681909091,0
84.75,1.6485,8.055863636,0
83.20454545,1.587954545,7.451431818,0
86.61363636,1.536340909,6.954045455,0
86.27272727,1.490568182,6.540454545,0
86.29545455,1.447363636,6.197636364,0
85.13636364,1.409272727,5.919045455,0
83.68181818,1.37425,5.761590909,0
82.68181818,1.340181818,5.58225,0
88.11363636,1.311477273,5.407454545,0
84.61363636,1.284636364,5.2575,0
82.38636364,1.258363636,5.124636364,0
84.95454545,1.2345,5.04125,0
84.09090909,1.211727273,4.976045455,0
86.45454545,1.190863636,4.904,0
80.97727273,1.173204545,4.871681818,0
78.75,1.157295455,4.841659091,0
87.31818182,1.141545455,4.795045455,0
84.84090909,1.126772727,4.776636364,0
92.65957447,1.793829787,10.16234043,0
92.20408163,2.972510204,21.2794898,0.693877551
168.84,3.69256,22.3258,1
142.12,5.48812,25.94972,1
109.5714286,5.147183673,24.82714286,1
103.6595745,4.278957447,21.18155319,1
139.4042553,4.164744681,21.42848936,1
150.2978723,4.333893617,22.83019149,1
105.1702128,3.572085106,20.56565957,1
119.5869565,3.038086957,19.27752174,0.826086957
120.2272727,2.943090909,19.12252273,0.431818182
92.11363636,3.695318182,21.39022727,0.454545455
101.8863636,4.421045455,23.94513636,1
93.13333333,4.076666667,22.37091111,1
114.6170213,4.060553191,20.9067234,1
115.9361702,3.717595745,19.66548936,1
87.55319149,3.326489362,18.79880851,1
115.4468085,3.158361702,19.0223617,0.978723404
133.0425532,3.182234043,19.65142553,1
92.19148936,3.696382979,21.38995745,1
99.02173913,3.983804348,22.08258696,1
113.7391304,4.174913043,22.13680435,1
96.47727273,3.283795455,20.21445455,1
87.36363636,3.165636364,20.07031818,1
85.38636364,3.083704545,19.36122727,0.863636364
90.95454545,3.394590909,20.59261364,0.931818182
77.91304348,3.464347826,20.83319565,1
82.78723404,3.276,20.19887234,1
117,3.465617021,20.68438298,1
122.5531915,3.887085106,21.45312766,1
104.1276596,3.751489362,21.07344681,1
121.7446809,3.59006383,20.39393617,1
91.40425532,3.549978723,20.45961702,1
91.04255319,3.572574468,20.54882979,1
103.5106383,3.409042553,20.10755319,1
89.87234043,4.235851064,21.85921277,1
112.2553191,4.297914894,22.21223404,1
92.36170213,3.607723404,20.47789362,1
87.70212766,3.44512766,20.19602128,1
91.4893617,3.670957447,20.47578723,1
94.40425532,3.728234043,20.45895745,1
100.4680851,3.746489362,21.0842766,1
111.8723404,4.083319149,21.27406383,1
115.5106383,4.180148936,20.73868085,1
105.9787234,4.235893617,21.35385106,1
93.65957447,3.799638298,21.15259574,1
93.44680851,3.460702128,20.01819149,1
89.85106383,3.193276596,19.33610638,1
88.44444444,3.861955556,20.68395556,1
85.8,4.423022222,21.31611111,1
88.38636364,3.880909091,21.24009091,1
90.54545455,3.734590909,21.08815909,1
104.8409091,3.284568182,20.07075,1
121.8409091,3.052113636,19.12745455,0.931818182
91.89361702,2.898638298,18.73595745,0.255319149
88.80851064,2.802340426,19.09544681,0
88.0212766,2.787702128,19.98082979,0
89.71111111,2.663,20.41106667,0
83.97727273,2.577204545,20.53581818,0
84.55319149,2.680510638,21.33844681,0.106382979
88.70212766,3.501617021,24.10934043,0.787234043
98.38,3.46594,23.7947,1
138.86,3.20606,22.5019,1
97.375,3.1015625,22.434125,1
121.5319149,3.671021277,24.09119149,1
94.68085106,3.981531915,23.74491489,1
90.9787234,4.043085106,23.46431915,1
82.54347826,3.552652174,22.28682609,1
81.36363636,3.29175,21.24115909,1
97.88888889,3.028511111,20.05544444,0.711111111
129.7446809,2.81787234,19.35744681,0.042553191
102.106383,2.674382979,18.80004255,0
86.31914894,2.534957447,18.05589362,0
121.7021277,2.442808511,17.78982979,0
125.9148936,2.937085106,20.93151064,0.382978723
88.93617021,3.432510638,23.67685106,1
85.08510638,3.030702128,22.16182979,0.723404255
96.31914894,2.910829787,21.68085106,0.212765957
90.55319149,2.976170213,21.83706383,0.489361702
88.91489362,3.055382979,22.17285106,0.723404255
89.59574468,3.269042553,22.41559574,1
71.25531915,3.543489362,23.44057447,1
92.52173913,3.337826087,22.25747826,1
86.59090909,2.976613636,20.79977273,0.545454545
84.29545455,2.840636364,20.21497727,0
90.55319149,2.707765957,19.454,0
118.3617021,2.594319149,18.92814894,0
101.893617,2.505319149,18.42789362,0
91.29787234,2.473297872,19.09419149,0
117.7608696,3.110847826,23.93826087,0.630434783
98.36363636,3.092386364,23.03288636,0.704545455
95.90909091,2.800840909,21.55125,0.045454545
115.5217391,2.67926087,21.53743478,0
87.93617021,2.795553191,23.6866383,0.191489362
113.4468085,3.54287234,27.65285106,0.872340426
105.0851064,4.57712766,28.64076596,1
132.4468085,4.482574468,27.12853191,1
171.2765957,3.990574468,25.27819149,1
121.6136364,3.526954545,23.54472727,1
90.20454545,3.456204545,23.79322727,1
81.56818182,3.4555,23.53704545,1
94.31818182,3.242431818,22.53879545,1
83.22222222,3.063688889,21.96968889,0.977777778
85.67391304,2.936217391,22.30693478,0.391304348
74.14893617,3.026553191,23.17376596,0.765957447
92.08510638,3.151468085,23.32782979,1
104.8510638,3.346765957,24.19019149,1
122.5957447,3.685510638,25.49085106,1
83.41304348,3.230413043,22.95130435,1
88.40909091,3.079431818,23.08084091,1
94.33333333,3.060866667,23.56513333,1
95.5106383,2.944234043,22.46978723,0.510638298
87.34042553,2.779191489,20.75851064,0
105,2.648148936,19.80919149,0
